Rep:,1,2,3,4,5,6,7,8,9,10
Bicicletas:,6376,6376,6376,6376,6376,6376,6376,6376,6376,6376
Usuarios que tomaron bicicleta:,10491.0,10731.0,10677.0,10688.0,10622.0,10782.0,10450.0,10562.0,10578.0,10903.0
Usuarios que esperaron tomar bicicleta:,433.0,675.0,617.0,474.0,549.0,665.0,510.0,601.0,550.0,536.0
Siguen esperando tomar:,690,736,624,708,695,636,800,727,875,682
Fracc. de usuarios que esperaron tomar bicicleta:,0.0412734725002383,0.06290187307799833,0.05778776809965346,0.04434880239520958,0.05168518169836189,0.06167686885549991,0.04880382775119617,0.05690210187464495,0.05199470599357156,0.04916078143630193
Usuarios que dejaron bicicleta:,9836.0,10008.0,9886.0,10040.0,9819.0,10040.0,9863.0,9884.0,9861.0,10128.0
Usuarios que esperaron dejar bicicleta:,759.0,827.0,743.0,687.0,840.0,780.0,690.0,728.0,831.0,880.0
Siguen esperando dejar:,434,468,542,406,542,508,363,434,474,558
Fracc. de usuarios que esperaron dejar bicicleta:,0.07716551443676291,0.08263389288569145,0.0751567873760874,0.06842629482071713,0.08554842652001222,0.07768924302788845,0.06995843049782013,0.07365439093484419,0.084271372071798,0.08688783570300158
Usuarios que esperaron tomar y dejar:,45.0,62.0,45.0,33.0,55.0,65.0,32.0,46.0,62.0,38.0
Usuarios totales que esperaron:,1147.0,1440.0,1315.0,1128.0,1334.0,1380.0,1168.0,1283.0,1319.0,1378.0
Fracc. de usuarios que esperaron:,0.10933180821656659,0.13419066256639642,0.12316193687365365,0.10553892215568862,0.12558840143099229,0.12799109627156371,0.11177033492822966,0.12147320583222875,0.12469275855549253,0.12638723287168668
No esperaron:,9344.0,9291.0,9362.0,9560.0,9288.0,9402.0,9282.0,9279.0,9259.0,9525.0
Fracc. de usuarios que no esperaron:,0.8906681917834334,0.8658093374336036,0.8768380631263464,0.8944610778443114,0.8744115985690077,0.8720089037284363,0.8882296650717704,0.8785267941677712,0.8753072414445074,0.8736127671283133
Tiempo promedio de espera para tomar bicicleta:,2.4775051671675836,3.7468397002533265,3.0914210447221997,2.7405771770745107,2.6987659796519083,3.408389777620996,3.0929470634758496,3.3083678240325596,3.703402682669048,2.9657491168419168
Tiempo promedio de espera para dejar bicicleta:,4.919939720862614,4.8972365602257595,5.099773110412493,4.358141409161422,5.7977733111295136,5.350145295401554,4.31518237118058,4.4320707906447945,5.141244896695976,5.243304683272346
Tiempo promedio de espera:,3.6593709747212966,4.301985646277923,4.056969287751633,3.5240750972864263,4.187399265096778,4.344669933154413,3.686404792018741,3.851588019767438,4.397104041469358,4.062562524516654
Fracc. promedio de tiempo con estaciones vac?ias:,0.04263421290950215,0.05455708675999939,0.05226469821970271,0.04269358564328915,0.05472089189103693,0.04685596690422409,0.04278981279509136,0.054277876243842595,0.058187834963873794,0.0541072303472287
Fracc. promedio de tiempo con estaciones llenas:,0.030287575957624,0.03364406659505981,0.028930040106096528,0.02752074551465387,0.032580622204318566,0.02875254035717027,0.025446489840147864,0.02849109599245949,0.03284727207929294,0.035186937103228046
Fracc. promedio de tiempo con estaciones llenas o vac?ias:,0.07292178886712615,0.0882011533550592,0.08119473832579924,0.07021433115794302,0.0873015140953555,0.07560850726139436,0.06823630263523922,0.08276897223630209,0.09103510704316672,0.08929416745045675
