Rep:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Bicicletas:,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423,1423
Usuarios servidos:,14276.0,14663.0,15005.0,14652.0,14558.0,14091.0,14768.0,14902.0,14674.0,14435.0,14210.0,15130.0,14496.0,14718.0,14310.0,14856.0,14247.0,14987.0,14748.0,14677.0,14667.0,14831.0,14908.0,14762.0,14981.0,14517.0,14768.0,14602.0,14602.0,14758.0,14176.0,14446.0,14809.0,14638.0,15013.0,14340.0,14215.0,14238.0,14747.0,14718.0,14988.0,14900.0,14468.0,15158.0,14430.0,14685.0,14836.0,15072.0,14931.0,14714.0,14860.0,14902.0,15248.0,14402.0,14808.0,14333.0,14430.0,14892.0,14576.0,14847.0,14724.0,14367.0,14387.0,14515.0,14560.0,14427.0,14516.0,14639.0,14639.0,15136.0,15218.0,14862.0,14649.0,14769.0,14429.0,14788.0,14627.0,14707.0,14968.0,15010.0,14789.0,14251.0,14755.0,14598.0,14458.0,14642.0,15246.0,14767.0,15038.0,14702.0,14446.0,14685.0,14424.0,14728.0,15234.0,14193.0,14309.0,14312.0,14789.0,14475.0
Usuarios que tomaron bicicleta:,7279.0,7448.0,7627.0,7451.0,7396.0,7166.0,7524.0,7569.0,7458.0,7335.0,7217.0,7686.0,7374.0,7477.0,7257.0,7561.0,7249.0,7618.0,7488.0,7442.0,7453.0,7523.0,7563.0,7502.0,7591.0,7388.0,7509.0,7413.0,7403.0,7516.0,7192.0,7345.0,7504.0,7435.0,7627.0,7270.0,7226.0,7224.0,7487.0,7481.0,7619.0,7568.0,7347.0,7704.0,7316.0,7464.0,7537.0,7636.0,7581.0,7484.0,7530.0,7572.0,7740.0,7322.0,7518.0,7295.0,7325.0,7577.0,7405.0,7530.0,7495.0,7311.0,7305.0,7363.0,7394.0,7359.0,7364.0,7431.0,7437.0,7701.0,7738.0,7557.0,7450.0,7499.0,7316.0,7520.0,7435.0,7457.0,7593.0,7624.0,7499.0,7259.0,7494.0,7404.0,7344.0,7428.0,7737.0,7484.0,7634.0,7456.0,7333.0,7454.0,7343.0,7475.0,7734.0,7195.0,7261.0,7281.0,7520.0,7365.0
Usuarios que esperaron tomar bicicleta:,3039.0,3111.0,3026.0,3158.0,3056.0,2924.0,3106.0,3154.0,3220.0,3034.0,3029.0,3075.0,3065.0,2998.0,3154.0,3170.0,2937.0,3259.0,3029.0,2919.0,3103.0,3124.0,3003.0,3007.0,3257.0,2993.0,3169.0,3028.0,2964.0,2995.0,2961.0,3019.0,3014.0,3072.0,3176.0,3051.0,2868.0,2994.0,3177.0,2889.0,3251.0,3086.0,2928.0,3278.0,2864.0,3180.0,3190.0,3006.0,3066.0,3147.0,3086.0,3200.0,3281.0,3160.0,3219.0,3012.0,2791.0,3108.0,3169.0,3108.0,3079.0,3009.0,3056.0,2944.0,3052.0,3176.0,2930.0,3116.0,3153.0,3293.0,3269.0,3121.0,3022.0,3087.0,2960.0,3049.0,3071.0,3039.0,3213.0,3233.0,3135.0,3045.0,3225.0,3185.0,3006.0,3041.0,3204.0,3203.0,3109.0,3083.0,3081.0,3106.0,3019.0,3053.0,3321.0,2831.0,2924.0,3154.0,3034.0,3100.0
Siguen esperando tomar:,3961,3952,3717,3878,3814,4131,3773,3760,3762,3853,4034,3679,3731,3944,4071,3941,4058,3752,3682,3860,3841,4028,3778,3870,3774,3812,3846,3875,3919,3922,4169,3875,4002,3759,3839,4161,3987,4042,3843,3661,3645,3891,3926,3829,3931,4068,3863,3668,3615,3819,3802,3775,3818,3999,3960,4040,3869,3759,3873,3626,4004,3890,3737,3831,3958,3995,4010,3910,3813,3611,3625,3931,3933,3954,4081,3946,3794,3738,3758,3947,3982,4075,3954,4029,4021,3811,3835,4059,3754,3904,3927,3770,3972,3894,3770,4032,3786,4033,3731,3965
Fracc. de usuarios que esperaron tomar bicicleta:,0.41750240417639783,0.41769602577873255,0.39674839386390454,0.4238357267480875,0.413196322336398,0.4080379570192576,0.41281233386496546,0.41669969612894703,0.43175113971574147,0.4136332651670075,0.4197034778994042,0.40007806401249024,0.4156495796040141,0.4009629530560385,0.4346148546231225,0.41925671207512233,0.40515933232169954,0.4278025728537674,0.4045138888888889,0.39223327062617575,0.4163424124513619,0.41525986973281936,0.3970646568821896,0.40082644628099173,0.429060729811619,0.40511640498105034,0.42202690105207086,0.40847160393902604,0.40037822504390114,0.3984832357637041,0.4117074527252503,0.41102791014295437,0.40165245202558636,0.4131809011432414,0.41641536646125604,0.4196698762035763,0.39690008303349017,0.41445182724252494,0.4243355148924803,0.38617831840663014,0.42669641685260534,0.40776955602536996,0.3985300122498979,0.4254932502596054,0.391470749043193,0.42604501607717044,0.42324532307284063,0.393661602933473,0.40443213296398894,0.42049706039551044,0.4098273572377158,0.4226096143687269,0.42390180878552974,0.43157607211144494,0.4281723862729449,0.41288553803975325,0.38102389078498294,0.41018872904843606,0.42795408507765026,0.4127490039840637,0.41080720480320215,0.4115716044316783,0.4183436002737851,0.3998370229526008,0.41276710846632403,0.43158037776871855,0.39788158609451385,0.41932445162158527,0.42396127470754336,0.4276068043111284,0.4224605841302662,0.41299457456662697,0.40563758389261745,0.4116548873183091,0.40459267359212686,0.40545212765957445,0.41304640215198385,0.4075365428456484,0.4231529039905176,0.4240556138509968,0.4180557407654354,0.41947926711668276,0.43034427542033626,0.43017287952458133,0.40931372549019607,0.40939687668282176,0.41411399767351686,0.42797969000534475,0.40725700812156146,0.4134924892703863,0.42015546161189143,0.4166890260262946,0.41113986109219663,0.40842809364548494,0.42940263770364623,0.39346768589298126,0.4026993527062388,0.43318225518472736,0.40345744680851064,0.42090970807875083
Usuarios que dejaron bicicleta:,6997.0,7215.0,7378.0,7201.0,7162.0,6925.0,7244.0,7333.0,7216.0,7100.0,6993.0,7444.0,7122.0,7241.0,7053.0,7295.0,6998.0,7369.0,7260.0,7235.0,7214.0,7308.0,7345.0,7260.0,7390.0,7129.0,7259.0,7189.0,7199.0,7242.0,6984.0,7101.0,7305.0,7203.0,7386.0,7070.0,6989.0,7014.0,7260.0,7237.0,7369.0,7332.0,7121.0,7454.0,7114.0,7221.0,7299.0,7436.0,7350.0,7230.0,7330.0,7330.0,7508.0,7080.0,7290.0,7038.0,7105.0,7315.0,7171.0,7317.0,7229.0,7056.0,7082.0,7152.0,7166.0,7068.0,7152.0,7208.0,7202.0,7435.0,7480.0,7305.0,7199.0,7270.0,7113.0,7268.0,7192.0,7250.0,7375.0,7386.0,7290.0,6992.0,7261.0,7194.0,7114.0,7214.0,7509.0,7283.0,7404.0,7246.0,7113.0,7231.0,7081.0,7253.0,7500.0,6998.0,7048.0,7031.0,7269.0,7110.0
Usuarios que esperaron dejar bicicleta:,115.0,61.0,46.0,37.0,93.0,92.0,64.0,33.0,56.0,68.0,59.0,74.0,83.0,15.0,53.0,131.0,49.0,89.0,24.0,56.0,45.0,37.0,15.0,55.0,26.0,57.0,63.0,42.0,18.0,95.0,13.0,92.0,65.0,44.0,111.0,80.0,89.0,59.0,108.0,41.0,46.0,46.0,65.0,74.0,29.0,20.0,70.0,31.0,55.0,95.0,28.0,71.0,97.0,47.0,76.0,60.0,35.0,38.0,77.0,35.0,53.0,60.0,72.0,34.0,45.0,70.0,64.0,73.0,43.0,57.0,68.0,24.0,68.0,86.0,30.0,52.0,58.0,75.0,71.0,70.0,17.0,139.0,81.0,76.0,62.0,88.0,69.0,43.0,80.0,24.0,35.0,49.0,93.0,87.0,68.0,71.0,39.0,110.0,98.0,123.0
Siguen esperando dejar:,59,34,21,36,27,55,59,26,37,9,14,31,34,26,21,18,49,29,8,11,31,7,4,23,16,26,24,13,15,37,6,30,18,22,39,23,21,34,23,22,26,9,11,28,5,8,27,7,18,46,7,35,24,17,24,36,19,24,57,9,32,33,30,11,21,61,23,11,5,44,32,25,46,18,23,19,30,12,18,18,1,38,16,17,18,22,24,15,32,6,21,33,39,22,16,18,9,32,32,43
Fracc. de usuarios que esperaron dejar bicicleta:,0.016435615263684436,0.008454608454608454,0.00623475196530225,0.005138175253437022,0.012985199664898073,0.013285198555956678,0.00883489784649365,0.004500204554752489,0.007760532150776054,0.009577464788732394,0.008437008437008437,0.009940891993551854,0.011654029766919404,0.002071537080513741,0.007514532822912236,0.017957505140507198,0.007002000571591884,0.012077622472520016,0.003305785123966942,0.007740152038700761,0.006237870806764624,0.0050629447181171315,0.0020422055820285907,0.007575757575757576,0.0035182679296346412,0.007995511291906298,0.008678881388621022,0.005842259006815969,0.0025003472704542297,0.01311792322562828,0.0018613974799541809,0.012955921701168849,0.00889801505817933,0.0061085658753297235,0.015028432168968318,0.011315417256011316,0.012734296752038918,0.008411747932706017,0.01487603305785124,0.005665330938234075,0.006242366671190121,0.006273867975995636,0.009127931470299114,0.009927555674805473,0.004076468934495361,0.002769699487605595,0.009590354843129196,0.004168908015061861,0.007482993197278911,0.01313969571230982,0.003819918144611187,0.009686221009549795,0.012919552477357486,0.006638418079096045,0.010425240054869684,0.008525149190110827,0.0049261083743842365,0.005194805194805195,0.010737693487658625,0.004783381167145005,0.007331581131553465,0.008503401360544218,0.010166619598983339,0.0047539149888143175,0.006279653921295004,0.009903791737408036,0.008948545861297539,0.010127635960044396,0.005970563732296584,0.007666442501681237,0.00909090909090909,0.0032854209445585215,0.009445756355049312,0.011829436038514442,0.004217629692113032,0.007154650522839846,0.008064516129032258,0.010344827586206896,0.009627118644067796,0.009477389656106146,0.0023319615912208505,0.01987986270022883,0.011155488224762429,0.0105643591882124,0.008715209446162496,0.012198502911006376,0.009188973232121454,0.00590416037347247,0.010804970286331712,0.0033121722329561135,0.004920567974131871,0.006776379477250726,0.013133738172574495,0.011995036536605542,0.009066666666666667,0.01014575593026579,0.005533484676503973,0.015645000711136395,0.013481909478607787,0.01729957805907173
Usuarios totales que esperaron:,3154.0,3172.0,3072.0,3195.0,3149.0,3016.0,3170.0,3187.0,3276.0,3102.0,3088.0,3149.0,3148.0,3013.0,3207.0,3301.0,2986.0,3348.0,3053.0,2975.0,3148.0,3161.0,3018.0,3062.0,3283.0,3050.0,3232.0,3070.0,2982.0,3090.0,2974.0,3111.0,3079.0,3116.0,3287.0,3131.0,2957.0,3053.0,3285.0,2930.0,3297.0,3132.0,2993.0,3352.0,2893.0,3200.0,3260.0,3037.0,3121.0,3242.0,3114.0,3271.0,3378.0,3207.0,3295.0,3072.0,2826.0,3146.0,3246.0,3143.0,3132.0,3069.0,3128.0,2978.0,3097.0,3246.0,2994.0,3189.0,3196.0,3350.0,3337.0,3145.0,3090.0,3173.0,2990.0,3101.0,3129.0,3114.0,3284.0,3303.0,3152.0,3184.0,3306.0,3261.0,3068.0,3129.0,3273.0,3246.0,3189.0,3107.0,3116.0,3155.0,3112.0,3140.0,3389.0,2902.0,2963.0,3264.0,3132.0,3223.0
Fracc. de usuarios que esperaron:,0.22093023255813954,0.216326808974971,0.20473175608130623,0.21805896805896807,0.21630718505289187,0.21403732879142714,0.21465330444203684,0.21386391088444504,0.22325201035845713,0.21489435400069276,0.21731175228712174,0.20812954395241243,0.21716335540838852,0.20471531458078543,0.2241090146750524,0.2221997845988153,0.20958798343510915,0.22339360779342096,0.207011120151885,0.20269809906656674,0.21463148564805345,0.21313465039444407,0.20244164207137108,0.20742446822923724,0.21914424938255123,0.21009850520079906,0.218851570964247,0.21024517189426106,0.20421860019175456,0.20937796449383386,0.20979119638826185,0.21535373113664683,0.20791410628671753,0.21287061073917202,0.21894358222873508,0.2183403068340307,0.20801969750263805,0.21442618345273212,0.22275717095002373,0.19907596140779998,0.2199759807846277,0.2102013422818792,0.2068703345313796,0.2211373532128249,0.2004851004851005,0.21790943139257746,0.2197357778376921,0.20149946921443737,0.20902819636996853,0.22033437542476553,0.2095558546433378,0.21950073815595222,0.22153725078698847,0.22267740591584503,0.2225148568341437,0.21433056582711227,0.19584199584199585,0.21125436475960246,0.2226948408342481,0.2116925978312117,0.21271393643031786,0.21361453330549174,0.21741850281504135,0.2051670685497761,0.21270604395604395,0.2249948014140154,0.206255166712593,0.2178427488216408,0.2183209235603525,0.22132663847780126,0.21927980023656196,0.2116135109675683,0.21093590006143764,0.21484189857133185,0.20722156767620764,0.20969705166351096,0.2139194640049224,0.2117359080709866,0.21940138963121325,0.22005329780146568,0.21313138143214552,0.22342291768998668,0.2240596407997289,0.22338676531031648,0.21220085765666066,0.2137003141647316,0.2146792601338056,0.21981445114105777,0.21206277430509377,0.21133179159298054,0.2156998477087083,0.21484508001361935,0.21575152523571825,0.21319934818033678,0.22246291190757517,0.20446699077009794,0.2070724718708505,0.22806036892118503,0.21177902495097709,0.22265975820379966
No esperaron:,11122.0,11491.0,11933.0,11457.0,11409.0,11075.0,11598.0,11715.0,11398.0,11333.0,11122.0,11981.0,11348.0,11705.0,11103.0,11555.0,11261.0,11639.0,11695.0,11702.0,11519.0,11670.0,11890.0,11700.0,11698.0,11467.0,11536.0,11532.0,11620.0,11668.0,11202.0,11335.0,11730.0,11522.0,11726.0,11209.0,11258.0,11185.0,11462.0,11788.0,11691.0,11768.0,11475.0,11806.0,11537.0,11485.0,11576.0,12035.0,11810.0,11472.0,11746.0,11631.0,11870.0,11195.0,11513.0,11261.0,11604.0,11746.0,11330.0,11704.0,11592.0,11298.0,11259.0,11537.0,11463.0,11181.0,11522.0,11450.0,11443.0,11786.0,11881.0,11717.0,11559.0,11596.0,11439.0,11687.0,11498.0,11593.0,11684.0,11707.0,11637.0,11067.0,11449.0,11337.0,11390.0,11513.0,11973.0,11521.0,11849.0,11595.0,11330.0,11530.0,11312.0,11588.0,11845.0,11291.0,11346.0,11048.0,11657.0,11252.0
Fracc. de usuarios que no esperaron:,0.7790697674418605,0.783673191025029,0.7952682439186938,0.7819410319410319,0.7836928149471081,0.7859626712085729,0.7853466955579632,0.786136089115555,0.7767479896415429,0.7851056459993072,0.7826882477128783,0.7918704560475875,0.7828366445916115,0.7952846854192146,0.7758909853249476,0.7778002154011847,0.7904120165648909,0.776606392206579,0.792988879848115,0.7973019009334332,0.7853685143519465,0.7868653496055559,0.797558357928629,0.7925755317707628,0.7808557506174487,0.7899014947992009,0.781148429035753,0.7897548281057389,0.7957813998082455,0.7906220355061662,0.7902088036117382,0.7846462688633532,0.7920858937132824,0.787129389260828,0.7810564177712649,0.7816596931659693,0.791980302497362,0.7855738165472679,0.7772428290499762,0.8009240385922001,0.7800240192153723,0.7897986577181209,0.7931296654686204,0.7788626467871751,0.7995148995148995,0.7820905686074225,0.780264222162308,0.7985005307855626,0.7909718036300315,0.7796656245752345,0.7904441453566622,0.7804992618440478,0.7784627492130115,0.7773225940841549,0.7774851431658563,0.7856694341728877,0.8041580041580042,0.7887456352403975,0.7773051591657519,0.7883074021687884,0.7872860635696821,0.7863854666945083,0.7825814971849586,0.7948329314502239,0.787293956043956,0.7750051985859846,0.793744833287407,0.7821572511783592,0.7816790764396475,0.7786733615221987,0.780720199763438,0.7883864890324317,0.7890640999385624,0.7851581014286682,0.7927784323237924,0.7903029483364891,0.7860805359950775,0.7882640919290134,0.7805986103687867,0.7799467021985343,0.7868686185678545,0.7765770823100133,0.775940359200271,0.7766132346896836,0.7877991423433394,0.7862996858352684,0.7853207398661944,0.7801855488589422,0.7879372256949062,0.7886682084070195,0.7843001522912917,0.7851549199863807,0.7842484747642817,0.7868006518196632,0.7775370880924248,0.7955330092299021,0.7929275281291495,0.771939631078815,0.7882209750490229,0.7773402417962003
